32349,Sirius,* alf CMa
30438,Canopus,* alf Car
69673,Arcturus,* alf Boo
71683,Rigil Kentaurus,* alf Cen A
91262,Vega,* alf Lyr
24608,Capella,* alf Aur
24436,Rigel,* bet Ori
37279,Procyon A,* alf CMi
7588,Achernar,* alf Eri
27989,Betelgeuse,* alf Ori
68702,Hadar,* bet Cen
97649,Altair,* alf Aql
60718,Acrux,* alf Cru
21421,Aldebaran,* alf Tau
65474,Spica,* alf Vir
80763,Antares,* alf Sco
37826,Pollux,* bet Gem
113368,Fomalhaut,* alf PsA
62434,Mimosa,* bet Cru
102098,Deneb,* alf Cyg
49669,Regulus,* alf Leo
33579,Adhara,* eps CMa
36850,Castor AB,* alf Gem
61084,Gacrux,* gam Cru
85927,Shaula,* lam Sco
25336,Bellatrix,* gam Ori
25428,Elnath,* bet Tau
45238,Miaplacidus,* bet Car
26311,Alnilam,* eps Ori
109268,Alnair,* alf Gru
26727,Alnitak,* zet Ori
39953,Regor,* gam02 Vel
62956,Alioth,* eps UMa
90185,Kaus Australis,* eps Sgr
15863,Mirfak,* alf Per
54061,Dubhe,* alf UMa
34444,Wezen,* del CMa
67301,Alcaid,* eta UMa
86228,Sargas,* tet Sco
41037,Avior,* eps Car
28360,Menkalinan,* bet Aur
82273,Atria,* alf TrA
42913,,* del01 Vel
31681,Alhena,* gam Gem
100751,Peacock,* alf Pav
11767,North Star,* alf UMi
30324,Mirzam,* bet CMa
46390,Alphard,* alf Hya
50583,Algieba,* gam Leo
9884,Hamal,* alf Ari
3419,Diphda,* bet Cet
92855,Nunki,* sig Sgr
68933,Menkent,* tet Cen
72607,Kochab,* bet UMi
5447,MIRACH,* bet And
677,Sirrah,* alf And
27366,Saiph,* kap Ori
112122,,* bet Gru
86032,Rasalhague,* alf Oph
14576,Algol A,* bet Per
9640,Almach,* gam01 And
57632,Denebola,* bet Leo
4427,,* gam Cas
61932,,* gam Cen
39429,Naos,* zet Pup
45556,Aspidiske,* iot Car
76267,Alphecca,* alf CrB
44816,Suhail,* lam Vel
65378,Mizar,* zet UMa
100453,SADR,* gam Cyg
3179,Schedar,* alf Cas
87833,Eltanin,* gam Dra
25930,Mintaka,* del Ori
746,Caph,* bet Cas
66657,,* eps Cen
82396,,* eps Sco
78401,Dschubba,* del Sco
71860,,* alf Lup
71352,,* eta Cen
53910,Merak,* bet UMa
72105,Izar,* eps Boo
107315,Enif,* eps Peg
86670,,* kap Sco
2081,Ankaa,* alf Phe
58001,Phecda,* gam UMa
84012,Sabik,* eta Oph
113881,Scheat,* bet Peg
35904,Aludra,* eta CMa
105199,Alderamin,* alf Cep
45941,,* kap Vel
102488,,* eps Cyg
113963,Markab,* alf Peg
14135,Menkar,* alf Cet
81377,,* zet Oph
68002,,* zet Cen
78820,,* bet01 Sco
54872,Zosma,* del Leo
59803,Gienah,* gam Crv
59196,,* del Cen
25985,Arneb,* alf Lep
93506,Ascella,* zet Sgr
74785,Zubeneschamali,* bet Lib
77070,Unukalhai,* alf Ser
8903,Sheratan,* bet Ari
28380,Mahasim,* tet Aur
61359,Kraz,* bet Crv
26634,Phact,* alf Col
6686,Ruchbah,* del Cas
73273,,* bet Lup
67927,Muphrid,* eta Boo
52727,,* mu. Vel
23015,Hassaleh,* iot Aur
61585,,* alf Mus
35264,Ahadi,* pi. Pup
89931,Kaus Media,* del Sgr
97278,Tarazed,* gam Aql
79593,Yed Prior,* del Oph
80331,,* eta Dra
61941,Porrima,* gam Vir
52419,,* tet Car
72622,Zubenelgenubi,* alf02 Lib
26241,Hatysa,* iot Ori
65109,,* iot Cen
86742,Cebalrai,* bet Oph
84345,Rasalgethi,* alf Her
80816,Kornephoros,* bet Her
23875,Cursa,* bet Eri
85670,Rastaban,* bet Dra
59747,Imai,* del Cru
76297,,* gam Lup
25606,Nihal,* bet Lep
81693,,* zet Her
2021,,* bet Hyi
81266,Paikauhale,* tau Sco
90496,Kaus Borealis,* lam Sgr
77952,,* bet TrA
1067,Algenib,* gam Peg
39757,Tureis,* rho Pup
85792,,* alf Ara
85258,,* bet Ara
18246,,* zet Per
17702,Alcyone,* eta Tau
63608,Vindemiatrix,* eps Vir
107556,Deneb Algedi,* del Cap
9236,,* alf Hyi
97165,,* del Cyg
30343,Tejat,* mu. Gem
74946,,* gam TrA
110130,,* alf Tuc
13847,Acamar,* tet Eri
94141,Albaldah,* pi. Sgr
36188,Gomeisa,* bet CMi
78265,,* pi. Sco
63125,Cor Caroli,* alf02 CVn
80112,Alniyat,* sig Sco
106278,Sadalsuud,* bet Aqr
18532,,* eps Per
14328,,* gam Per
48002,,* ups Car
112158,Matar,* eta Peg
60965,Algorab,* del Crv
32768,Taleban,* tau Pup
109074,Sadalmelik,* alf Aqr
18543,Zaurak,* gam Eri
47908,,* eps Leo
26451,,* zet Tau
88635,Alnasl,* gam02 Sgr
64962,,* gam Hya
93747,,* zet Aql
87073,,* iot01 Sco
54539,,* psi UMa
108085,Aldhanab,* gam Gru
10064,,* bet Tri
75097,Pherkad,* gam UMi
82514,,* mu.01 Sco
17358,,* del Per
33977,,* omi02 CMa
59316,Minkar,* eps Crv
30122,Furud,* zet CMa
23416,Almaaz,* eps Aur
71075,Seginus,* gam Boo
62322,,* bet Mus
100345,Dabih Major,* bet01 Cap
95947,Albireo,* bet01 Cyg
50801,Tania Australis,* mu. UMa
32246,Mebsuta,* eps Gem
94376,Altais,* del Dra
89642,,* eta Sgr
56561,,* lam Cen
52943,,* nu. Hya
43813,,* zet Hya
101772,,* alf Ind
84379,Sarin,* del Her
44127,Talitha,* iot UMa
27628,Wazn,* bet Col
83081,,* zet Ara
73334,,* kap Cen
45860,,* alf Lyn
46701,,* N Vel
84380,,* pi. Her
